run_id,goal,steps,tool_calls,tool_entropy,goal_alignment,pipeline_deviation,composite_score,agency_tier,tool_distribution
1,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,33,47,,,,,,
2,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,27,35,,,,,,
3,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,47,51,,,,,,
4,"Analyse geopolitical risk and country stability for Gallium, Cobalt and Rare Earth Elements",15,13,,,,,,
5,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,42,50,,,,,,
6,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,32,43,,,,,,
7,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,32,74,,,,,,
8,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,44,85,,,,,,
9,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,36,73,,,,,,
10,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,46,47,,,,,,
11,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,35,78,,,,,,
12,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,54,65,,,,,,
13,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,40,115,,,,,,
14,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,43,56,,,,,,
15,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,38,77,,,,,,
16,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,42,40,,,,,,
17,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,41,165,,,,,,
18,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,44,88,,,,,,
19,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,45,78,,,,,,
20,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,44,60,,,,,,
21,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,43,118,,,,,,
22,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,44,52,,,,,,
23,Assess the supply chain resilience of the NVIDIA AI GPU and produce a board-ready executive report with actionable recommendations.,34,83,,,,,,
24,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",38,84,0.8654,0.3929,0.8929,0.6819,MODERATELY AGENTIC,"{""trace_supply_chain"": 13, ""trace_full_chain"": 12, ""run_scenario"": 12, ""assess_geo_risk"": 9, ""fetch_live_country_stability"": 9, ""echelon_risk_profile"": 6, ""identify_echelon_bottleneck"": 6, ""find_substitutes"": 5, ""list_data_sources"": 2, ""finish"": 2, ""list_scenarios"": 2, ""map_dependencies"": 1, ""portfolio_overview"": 1, ""identify_chokepoints"": 1, ""get_recommendations"": 1, ""compare_minerals"": 1, ""generate_report"": 1}"
25,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",32,66,0.8843,0.2727,0.8636,0.6355,MODERATELY AGENTIC,"{""assess_geo_risk"": 11, ""run_scenario"": 10, ""fetch_live_country_stability"": 8, ""trace_supply_chain"": 7, ""find_substitutes"": 5, ""map_dependencies"": 4, ""trace_full_chain"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""customer_demand_signal"": 3, ""finish"": 2, ""identify_chokepoints"": 1, ""get_recommendations"": 1, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""list_data_sources"": 1, ""list_scenarios"": 1, ""generate_report"": 1}"
26,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",38,42,0.8866,0.381,0.7619,0.6594,MODERATELY AGENTIC,"{""run_scenario"": 10, ""trace_full_chain"": 6, ""trace_supply_chain"": 4, ""find_substitutes"": 4, ""assess_geo_risk"": 3, ""echelon_risk_profile"": 3, ""identify_echelon_bottleneck"": 3, ""identify_chokepoints"": 2, ""map_dependencies"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""portfolio_overview"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
27,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",43,70,0.8732,0.3429,0.8571,0.6579,MODERATELY AGENTIC,"{""run_scenario"": 15, ""trace_supply_chain"": 10, ""assess_geo_risk"": 8, ""find_substitutes"": 6, ""trace_full_chain"": 6, ""get_recommendations"": 5, ""list_scenarios"": 4, ""fetch_live_country_stability"": 3, ""identify_chokepoints"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""customer_demand_signal"": 2, ""map_dependencies"": 1, ""portfolio_overview"": 1, ""compare_minerals"": 1, ""generate_report"": 1, ""finish"": 1}"
28,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",40,78,0.798,0.4615,0.8718,0.6782,MODERATELY AGENTIC,"{""trace_supply_chain"": 19, ""assess_geo_risk"": 17, ""find_substitutes"": 9, ""run_scenario"": 8, ""trace_full_chain"": 6, ""get_recommendations"": 5, ""identify_chokepoints"": 2, ""echelon_risk_profile"": 2, ""identify_echelon_bottleneck"": 2, ""map_dependencies"": 1, ""compare_minerals"": 1, ""portfolio_overview"": 1, ""list_data_sources"": 1, ""customer_demand_signal"": 1, ""list_scenarios"": 1, ""generate_report"": 1, ""finish"": 1}"
29,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",27,28,0.9326,0.2857,0.7143,0.6302,MODERATELY AGENTIC,"{""list_data_sources"": 5, ""fetch_live_country_stability"": 3, ""trace_full_chain"": 3, ""customer_demand_signal"": 3, ""finish"": 2, ""map_dependencies"": 1, ""identify_chokepoints"": 1, ""compare_minerals"": 1, ""get_recommendations"": 1, ""portfolio_overview"": 1, ""assess_geo_risk"": 1, ""trace_supply_chain"": 1, ""find_substitutes"": 1, ""echelon_risk_profile"": 1, ""identify_echelon_bottleneck"": 1, ""list_scenarios"": 1, ""generate_report"": 1}"
30,"Assess supply chain resilience of NVIDIA AI GPU, board-ready report",36,78,0.887,0.3205,0.8974,0.6625,MODERATELY AGENTIC,"{""run_scenario"": 13, ""trace_supply_chain"": 11, ""fetch_live_country_stability"": 8, ""assess_geo_risk"": 7, ""find_substitutes"": 6, ""identify_chokepoints"": 6, ""trace_full_chain"": 6, ""identify_echelon_bottleneck"": 6, ""get_recommendations"": 5, ""map_dependencies"": 2, ""list_scenarios"": 2, ""compare_minerals"": 1, ""portfolio_overview"": 1, ""customer_demand_signal"": 1, ""list_data_sources"": 1, ""generate_report"": 1, ""finish"": 1}"
